iter	Passed	Remaining
0	228	273668
1	302	181103
2	399	159283
3	446	133531
4	522	124879
5	602	119987
6	684	116722
7	755	112606
8	813	107681
9	957	113973
10	1038	112295
11	1116	110566
12	1302	118919
13	1439	121955
14	1468	116017
15	1611	119286
16	1761	122583
17	1808	118740
18	2001	124426
19	2076	122528
20	2229	125194
21	2370	126937
22	2417	123694
23	2536	124271
24	2628	123527
25	2710	122403
26	2787	121096
27	2829	118445
28	2902	117189
29	3341	130309
30	3647	137563
31	3829	139771
32	3928	138938
33	4000	137180
34	4034	134304
35	4107	132815
36	4180	131400
37	4250	129964
38	4368	130036
39	4613	133802
40	4725	133581
41	5089	140334
42	5212	140245
43	5358	140792
44	5472	140457
45	5576	139885
46	5729	140557
47	5849	140384
48	5951	139796
49	6016	138385
50	6118	137853
51	6187	136604
52	6484	140329
53	6750	143264
54	6827	142144
55	6901	140984
56	6946	139293
57	7035	138525
58	7179	138842
59	7384	140302
60	7549	140960
61	7652	140469
62	7880	142226
63	8202	145599
64	8291	144783
65	8408	144477
66	8523	144143
67	8641	143863
68	8749	143421
69	8861	143052
70	8941	142185
71	9036	141567
72	9141	141128
73	9213	140189
74	9300	139506
75	9391	138897
76	9476	138213
77	9575	137733
78	9668	137201
79	9785	136991
80	9891	136650
81	9941	135543
82	10014	134767
83	10113	134367
84	10195	133739
85	10230	132520
86	10263	131305
87	10312	130312
88	10353	129246
89	10429	128634
90	10477	127691
91	10519	126685
92	10598	126160
93	10678	125641
94	10750	125042
95	10826	124505
96	10896	123905
97	10968	123342
98	11039	122767
99	11112	122238
100	11187	121735
101	11258	121199
102	11331	120689
103	11403	120179
104	11475	119672
105	11551	119218
106	11581	118301
107	11657	117866
108	11727	117384
109	11804	116971
110	11866	116418
111	11941	116002
112	12017	115604
113	12088	115159
114	12163	114760
115	12236	114347
116	12308	113931
117	12386	113579
118	12457	113167
119	12544	112897
120	12639	112713
121	12682	112060
122	12757	111706
123	12786	110954
124	12870	110684
125	12908	110032
126	12991	109764
127	13073	109488
128	13102	108784
129	13178	108468
130	13253	108155
131	13336	107900
132	13381	107353
133	13458	107063
134	13536	106789
135	13624	106592
136	13714	106410
137	13788	106109
138	13829	105563
139	13902	105259
140	13986	105048
141	14068	104816
142	14116	104345
143	14190	104061
144	14267	103808
145	14295	103204
146	14370	102938
147	14454	102741
148	14481	102146
149	14553	101871
150	14636	101678
151	14708	101412
152	14781	101151
153	14824	100689
154	14900	100457
155	14976	100228
156	15050	99982
157	15124	99742
158	15199	99516
159	15272	99273
160	15296	98714
161	15367	98465
162	15442	98243
163	15517	98023
164	15592	97810
165	15667	97591
166	15740	97362
167	15814	97145
168	15886	96919
169	15960	96702
170	16037	96506
171	16112	96299
172	16185	96083
173	16261	95884
174	16339	95700
175	16414	95502
176	16484	95277
177	16560	95085
178	16644	94936
179	16715	94719
180	16794	94550
181	16877	94404
182	16956	94235
183	17040	94091
184	17114	93896
185	17184	93685
186	17267	93538
187	17344	93363
188	17417	93171
189	17495	93001
190	17576	92851
191	17651	92672
192	17726	92489
193	17797	92290
194	17869	92094
195	17946	91930
196	18019	91742
197	18091	91554
198	18168	91388
199	18240	91201
200	18315	91030
201	18390	90861
202	18473	90730
203	18550	90568
204	18629	90421
205	18706	90265
206	18777	90077
207	18848	89893
208	18946	89836
209	19042	89771
210	19128	89660
211	19221	89580
212	19310	89483
213	19398	89376
214	19485	89272
215	19573	89169
216	19673	89119
217	19761	89019
218	19853	88934
219	19946	88854
220	20031	88736
221	20117	88626
222	20212	88555
223	20334	88600
224	20439	88570
225	20550	88568
226	20656	88541
227	20756	88490
228	20869	88489
229	20968	88432
230	21068	88376
231	21150	88249
232	21234	88127
233	21311	87978
234	21394	87855
235	21486	87766
236	21578	87680
237	21686	87658
238	21782	87583
239	21867	87470
240	21954	87364
241	22045	87272
242	22139	87191
243	22228	87090
244	22327	87032
245	22414	86922
246	22505	86834
247	22615	86815
248	22711	86739
249	22807	86668
250	22907	86611
251	23200	87278
252	23289	87173
253	23372	87050
254	23453	86914
255	23533	86781
256	23631	86708
257	23738	86671
258	23838	86610
259	23966	86649
260	24098	86698
261	24205	86660
262	24287	86529
263	24363	86378
264	24434	86213
265	24521	86102
266	24607	85987
267	24688	85857
268	24768	85721
269	24846	85583
270	24923	85437
271	25002	85303
272	25074	85142
273	25151	85002
274	25227	84854
275	25300	84701
276	25373	84547
277	25507	84595
278	25646	84659
279	25738	84569
280	25813	84421
281	25898	84307
282	25980	84183
283	26066	84072
284	26150	83956
285	26230	83827
286	26309	83696
287	26389	83565
288	26483	83483
289	26571	83378
290	26654	83261
291	26728	83116
292	26798	82956
293	26874	82818
294	26962	82716
295	27050	82615
296	27132	82494
297	27238	82446
298	27315	82311
299	27393	82181
300	27468	82039
301	27552	81926
302	27643	81836
303	27723	81712
304	27794	81559
305	27870	81424
306	27946	81290
307	28017	81141
308	28091	81001
309	28168	80870
310	28249	80750
311	28327	80625
312	28407	80502
313	28490	80391
314	28572	80274
315	28646	80137
316	28731	80031
317	28823	79945
318	28900	79815
319	28973	79676
320	29045	79534
321	29121	79406
322	29206	79300
323	29294	79203
324	29385	79114
325	29471	79011
326	29550	78890
327	29625	78761
328	29699	78626
329	29775	78498
330	29857	78386
331	29946	78294
332	30022	78166
333	30113	78079
334	30195	77966
335	30277	77855
336	30364	77758
337	30452	77663
338	30536	77558
339	30615	77438
340	30690	77310
341	30764	77182
342	30838	77050
343	30909	76914
344	30980	76778
345	31055	76652
346	31136	76540
347	31244	76494
348	31353	76451
349	31451	76382
350	31545	76303
351	31653	76254
352	31750	76182
353	31851	76118
354	31942	76031
355	32034	75946
356	32120	75847
357	32216	75771
358	32317	75708
359	32416	75637
360	32522	75585
361	32666	75620
362	32767	75555
363	32864	75479
364	32956	75394
365	33063	75340
366	33158	75262
367	33251	75177
368	33347	75099
369	33447	75030
370	33557	74984
371	33743	75106
372	33825	74995
373	33902	74874
374	33980	74756
375	34063	74649
376	34148	74547
377	34226	74429
378	34306	74316
379	34386	74201
380	34468	74093
381	34552	73989
382	34631	73875
383	34714	73767
384	34792	73652
385	34875	73544
386	34951	73424
387	35029	73308
388	35103	73184
389	35190	73088
390	35277	72991
391	35361	72887
392	35443	72781
393	35519	72660
394	35603	72558
395	35677	72435
396	35764	72339
397	35834	72209
398	35910	72091
399	36006	72013
400	36086	71904
401	36171	71803
402	36276	71742
403	36372	71663
404	36475	71600
405	36588	71555
406	36682	71472
407	36778	71394
408	36866	71299
409	36960	71216
410	37044	71114
411	37125	71006
412	37226	70937
413	37309	70834
414	37402	70749
415	37492	70659
416	37585	70574
417	37683	70499
418	37783	70427
419	37876	70341
420	37965	70250
421	38057	70162
422	38145	70067
423	38239	69986
424	38330	69896
425	38435	69832
426	38532	69755
427	38630	69679
428	38731	69608
429	38827	69527
430	38914	69431
431	38996	69327
432	39089	69240
433	39185	69161
434	39275	69070
435	39368	68984
436	39462	68901
437	39589	68874
438	39681	68787
439	39775	68703
440	39872	68623
441	39960	68529
442	40045	68429
443	40120	68314
444	40196	68199
445	40271	68082
446	40350	67973
447	40427	67860
448	40502	67744
449	40579	67632
450	40655	67519
451	40747	67432
452	40828	67326
453	40902	67210
454	40976	67093
455	41056	66986
456	41130	66871
457	41205	66755
458	41292	66662
459	41365	66544
460	41442	66433
461	41514	66315
462	41595	66212
463	41664	66089
464	41742	65980
465	41819	65870
466	41895	65759
467	41970	65646
468	42046	65535
469	42122	65424
470	42202	65320
471	42284	65217
472	42358	65104
473	42428	64985
474	42501	64871
475	42590	64780
476	42678	64689
477	42760	64588
478	42840	64484
479	42927	64390
480	43017	64302
481	43094	64193
482	43167	64081
483	43246	63976
484	43337	63888
485	43422	63793
486	43532	63734
487	43627	63653
488	43719	63567
489	43816	63489
490	43907	63402
491	43998	63314
492	44086	63223
493	44178	63137
494	44283	63070
495	44385	62998
496	44484	62923
497	44584	62848
498	44684	62773
499	44782	62694
500	44879	62616
501	44992	62559
502	45105	62501
503	45195	62412
504	45300	62344
505	45401	62269
506	45488	62176
507	45582	62092
508	45668	61997
509	45744	61889
510	45817	61777
511	45890	61665
512	45969	61562
513	46042	61449
514	46127	61353
515	46203	61246
516	46278	61137
517	46359	61037
518	46438	60934
519	46513	60825
520	46592	60722
521	46666	60612
522	46743	60507
523	46831	60416
524	46912	60316
525	46989	60210
526	47067	60106
527	47147	60006
528	47227	59904
529	47303	59798
530	47391	59708
531	47466	59600
532	47543	59495
533	47623	59395
534	47699	59290
535	47790	59203
536	47868	59100
537	47944	58994
538	48020	58889
539	48095	58783
540	48168	58674
541	48245	58571
542	48320	58464
543	48396	58360
544	48468	58251
545	48551	58154
546	48635	58060
547	48717	57963
548	48802	57869
549	48885	57773
550	48964	57673
551	49035	57563
552	49107	57454
553	49185	57353
554	49274	57264
555	49346	57156
556	49428	57060
557	49672	57149
558	49794	57099
559	49885	57011
560	49962	56909
561	50035	56801
562	50104	56689
563	50179	56585
564	50257	56483
565	50329	56376
566	50407	56274
567	50480	56168
568	50560	56070
569	50636	55966
570	50716	55868
571	50790	55762
572	50862	55655
573	50936	55551
574	51010	55445
575	51085	55342
576	51162	55241
577	51236	55137
578	51314	55036
579	51402	54947
580	51478	54845
581	51555	54744
582	51630	54641
583	51703	54536
584	51774	54430
585	51853	54331
586	51926	54226
587	52001	54123
588	52076	54021
589	52150	53918
590	52266	53858
591	52356	53772
592	52452	53691
593	52543	53605
594	52634	53519
595	52737	53444
596	52842	53373
597	52951	53305
598	53055	53232
599	53141	53141
600	53221	53044
601	53309	52954
602	53426	52894
603	53535	52826
604	53626	52740
605	53709	52645
606	53921	52677
607	54037	52615
608	54157	52556
609	54252	52473
610	54347	52390
611	54439	52304
612	54538	52225
613	54633	52142
614	54732	52062
615	54851	52001
616	54954	51925
617	55054	51847
618	55150	51764
619	55239	51675
620	55330	51588
621	55426	51505
622	55536	51435
623	55637	51357
624	55739	51279
625	55853	51213
626	55979	51158
627	56123	51118
628	56240	51054
629	56331	50966
630	56431	50886
631	56544	50818
632	56652	50745
633	56768	50679
634	56878	50608
635	56978	50527
636	57075	50444
637	57184	50372
638	57288	50295
639	57384	50211
640	57485	50131
641	57595	50059
642	57713	49994
643	57833	49930
644	57929	49846
645	58036	49771
646	58157	49708
647	58265	49633
648	58377	49562
649	58479	49482
650	58577	49399
651	58658	49302
652	58741	49206
653	58825	49111
654	58908	49015
655	59015	48939
656	59110	48853
657	59193	48757
658	59279	48665
659	59360	48567
660	59437	48467
661	59514	48366
662	59598	48272
663	59687	48181
664	59765	48082
665	59842	47981
666	59930	47890
667	60047	47822
668	60149	47742
669	60308	47706
670	60494	47692
671	60895	47846
672	60998	47765
673	61104	47687
674	61196	47597
675	61288	47507
676	61369	47409
677	61459	47318
678	61555	47231
679	61644	47139
680	61728	47044
681	61811	46947
682	61887	46845
683	61961	46742
684	62041	46644
685	62130	46552
686	62220	46461
687	62306	46367
688	62402	46280
689	62492	46190
690	62588	46103
691	62687	46019
692	62779	45929
693	62858	45830
694	62938	45732
695	63017	45633
696	63101	45538
697	63194	45449
698	63278	45353
699	63363	45259
700	63451	45167
701	63542	45077
702	63639	44991
703	63715	44890
704	63799	44795
705	63877	44695
706	63961	44601
707	64071	44524
708	64154	44428
709	64238	44333
710	64324	44240
711	64406	44143
712	64485	44045
713	64568	43949
714	64647	43851
715	64752	43771
716	64851	43686
717	64941	43595
718	65041	43511
719	65132	43421
720	65244	43345
721	65343	43260
722	65431	43168
723	65524	43079
724	65625	42996
725	65704	42897
726	65779	42797
727	65855	42697
728	65932	42598
729	66007	42498
730	66098	42408
731	66189	42318
732	66279	42227
733	66358	42129
734	66437	42031
735	66525	41940
736	66624	41855
737	66718	41766
738	66816	41680
739	66906	41590
740	67004	41504
741	67099	41417
742	67224	41348
743	67311	41255
744	67391	41158
745	67468	41060
746	67547	40962
747	67626	40865
748	67701	40765
749	67772	40663
750	67852	40566
751	67925	40466
752	68001	40367
753	68079	40269
754	68213	40205
755	68448	40200
756	68548	40114
757	68638	40024
758	68741	39940
759	68853	39862
760	68957	39779
761	69064	39698
762	69187	39626
763	69295	39545
764	69403	39464
765	69516	39386
766	69609	39297
767	69718	39216
768	69818	39131
769	69932	39052
770	70061	38983
771	70174	38904
772	70284	38824
773	70397	38745
774	70510	38667
775	70607	38579
776	70703	38491
777	70809	38408
778	70904	38319
779	70996	38228
780	71100	38144
781	71214	38065
782	71317	37981
783	71414	37893
784	71522	37811
785	71608	37717
786	71711	37632
787	71804	37542
788	71895	37451
789	71984	37358
790	72086	37273
791	72183	37185
792	72298	37106
793	72404	37022
794	72530	36949
795	72615	36854
796	72697	36759
797	72775	36661
798	72854	36563
799	72931	36465
800	73011	36369
801	73091	36272
802	73185	36182
803	73271	36088
804	73346	35989
805	73427	35894
806	73508	35797
807	73584	35699
808	73664	35602
809	73737	35503
810	73811	35404
811	73888	35306
812	73962	35207
813	74039	35109
814	74117	35012
815	74195	34915
816	74273	34818
817	74349	34720
818	74422	34621
819	74498	34523
820	74578	34427
821	74649	34327
822	74724	34229
823	74808	34135
824	74890	34040
825	74963	33942
826	75039	33844
827	75109	33744
828	75186	33647
829	75260	33549
830	75340	33454
831	75414	33356
832	75488	33258
833	75605	33179
834	75796	33132
835	75884	33040
836	75966	32946
837	76047	32851
838	76133	32758
839	76224	32667
840	76302	32571
841	76373	32472
842	76448	32374
843	76529	32280
844	76605	32183
845	76687	32088
846	76764	31992
847	76839	31895
848	76916	31799
849	76989	31701
850	77067	31605
851	77145	31510
852	77215	31411
853	77287	31313
854	77365	31217
855	77439	31120
856	77520	31026
857	77600	30931
858	77677	30835
859	77759	30742
860	77843	30649
861	77921	30553
862	78000	30458
863	78075	30362
864	78152	30267
865	78229	30171
866	78308	30076
867	78386	29981
868	78459	29885
869	78540	29791
870	78612	29694
871	78689	29598
872	78770	29505
873	78852	29411
874	78930	29317
875	79002	29220
876	79083	29126
877	79179	29038
878	79283	28953
879	79377	28864
880	79482	28779
881	79594	28697
882	79695	28611
883	79793	28523
884	79896	28437
885	79993	28349
886	80098	28264
887	80194	28176
888	80290	28088
889	80385	27999
890	80478	27910
891	80588	27826
892	80691	27740
893	80790	27653
894	80896	27568
895	80999	27481
896	81103	27396
897	81205	27309
898	81306	27222
899	81407	27135
900	81509	27049
901	81592	26956
902	81672	26862
903	81748	26767
904	81825	26672
905	81906	26578
906	81979	26482
907	82057	26388
908	82146	26297
909	82224	26203
910	82301	26108
911	82374	26012
912	82451	25918
913	82548	25830
914	82634	25738
915	82710	25643
916	82786	25549
917	82865	25455
918	82943	25361
919	83023	25267
920	83112	25177
921	83202	25087
922	83280	24993
923	83356	24898
924	83429	24803
925	83502	24708
926	83574	24612
927	83647	24517
928	83727	24424
929	83806	24330
930	83898	24241
931	83994	24153
932	84084	24062
933	84222	23986
934	84335	23902
935	84431	23814
936	84548	23731
937	84652	23644
938	84767	23561
939	84865	23473
940	84973	23388
941	85085	23303
942	85186	23216
943	85388	23156
944	85513	23074
945	85700	23010
946	85920	22954
947	86073	22880
948	86263	22815
949	86418	22741
950	86524	22654
951	86620	22565
952	86721	22476
953	86819	22387
954	86918	22298
955	87019	22210
956	87182	22137
957	87306	22054
958	87411	21966
959	87646	21911
960	87772	21829
961	87916	21750
962	88052	21670
963	88181	21587
964	88276	21497
965	88378	21408
966	88482	21320
967	88583	21230
968	88672	21138
969	88771	21048
970	88877	20960
971	88978	20871
972	89080	20782
973	89180	20692
974	89265	20599
975	89352	20507
976	89456	20418
977	89541	20325
978	89632	20233
979	89726	20142
980	89810	20049
981	89901	19957
982	89983	19864
983	90073	19772
984	90170	19681
985	90251	19588
986	90328	19493
987	90406	19399
988	90484	19304
989	90562	19210
990	90646	19117
991	90722	19022
992	90803	18928
993	90881	18834
994	90960	18740
995	91039	18646
996	91127	18554
997	91211	18461
998	91291	18367
999	91361	18272
1000	91442	18178
1001	91538	18088
1002	91630	17997
1003	91727	17906
1004	91827	17817
1005	91928	17727
1006	92026	17637
1007	92122	17547
1008	92224	17457
1009	92322	17367
1010	92414	17276
1011	92520	17187
1012	92613	17096
1013	92728	17009
1014	92857	16924
1015	92959	16835
1016	93091	16750
1017	93213	16664
1018	93330	16577
1019	93481	16496
1020	93625	16414
1021	93765	16330
1022	93894	16245
1023	94002	16156
1024	94107	16067
1025	94223	15979
1026	94319	15888
1027	94400	15794
1028	94481	15701
1029	94559	15606
1030	94644	15513
1031	94725	15420
1032	94808	15327
1033	94884	15232
1034	94964	15139
1035	95041	15045
1036	95121	14951
1037	95197	14857
1038	95270	14762
1039	95343	14668
1040	95424	14574
1041	95507	14481
1042	95591	14389
1043	95671	14295
1044	95749	14202
1045	95832	14109
1046	95914	14016
1047	95991	13922
1048	96070	13829
1049	96150	13735
1050	96226	13641
1051	96312	13549
1052	96388	13455
1053	96483	13364
1054	96577	13273
1055	96672	13182
1056	96753	13089
1057	96836	12996
1058	96953	12908
1059	97040	12816
1060	97118	12723
1061	97194	12629
1062	97268	12536
1063	97340	12442
1064	97418	12348
1065	97518	12258
1066	97601	12165
1067	97688	12073
1068	97778	11982
1069	97862	11889
1070	97945	11797
1071	98029	11704
1072	98110	11612
1073	98189	11519
1074	98278	11427
1075	98365	11335
1076	98446	11243
1077	98534	11151
1078	98609	11058
1079	98688	10965
1080	98769	10872
1081	98847	10780
1082	98931	10687
1083	99013	10595
1084	99098	10503
1085	99184	10411
1086	99266	10319
1087	99341	10226
1088	99425	10134
1089	99512	10042
1090	99599	9950
1091	99674	9857
1092	99748	9764
1093	99819	9671
1094	99890	9578
1095	99975	9486
1096	100054	9394
1097	100158	9304
1098	100247	9212
1099	100365	9124
1100	100464	9033
1101	100560	8942
1102	100651	8851
1103	100762	8761
1104	100864	8671
1105	100963	8581
1106	101056	8489
1107	101148	8398
1108	101239	8307
1109	101335	8216
1110	101441	8126
1111	101541	8035
1112	101638	7944
1113	101740	7854
1114	101843	7763
1115	101945	7673
1116	102040	7582
1117	102140	7491
1118	102246	7401
1119	102558	7325
1120	102698	7237
1121	102799	7146
1122	102906	7055
1123	103008	6965
1124	103105	6873
1125	103208	6782
1126	103311	6691
1127	103429	6601
1128	103534	6511
1129	103630	6419
1130	103725	6328
1131	103814	6236
1132	103922	6145
1133	104028	6054
1134	104147	5964
1135	104285	5875
1136	104442	5787
1137	104560	5696
1138	104660	5605
1139	104760	5513
1140	104855	5421
1141	104953	5330
1142	105049	5238
1143	105150	5147
1144	105259	5056
1145	105362	4964
1146	105466	4873
1147	105565	4781
1148	105661	4689
1149	105772	4598
1150	105874	4507
1151	105970	4415
1152	106070	4323
1153	106162	4231
1154	106264	4140
1155	106361	4048
1156	106465	3956
1157	106573	3865
1158	106674	3773
1159	106762	3681
1160	106837	3588
1161	106920	3496
1162	107002	3404
1163	107080	3311
1164	107158	3219
1165	107253	3127
1166	107340	3035
1167	107418	2942
1168	107507	2850
1169	107610	2759
1170	107701	2667
1171	107782	2575
1172	107859	2482
1173	107936	2390
1174	108011	2298
1175	108094	2206
1176	108172	2113
1177	108248	2021
1178	108325	1929
1179	108404	1837
1180	108497	1745
1181	108629	1654
1182	108764	1562
1183	108892	1471
1184	108997	1379
1185	109092	1287
1186	109186	1195
1187	109278	1103
1188	109370	1011
1189	109456	919
1190	109542	827
1191	109632	735
1192	109715	643
1193	109797	551
1194	109874	459
1195	109957	367
1196	110035	275
1197	110114	183
1198	110193	91
1199	110279	0
